name,party,state
Alan Rick,DEM,Acre
Dra. Vanda Milani,SD,Acre
Flaviano Melo,MDB,Acre
Jéssica Sales,MDB,Acre
Jesus Sérgio,PDT,Acre
Mara Rocha,PSDB,Acre
Pastor Manuel Marcos,PRB,Acre
Perpetua Almeida ,PC do B,Acre
Arthur Lira,PP,Alagoas
Isnaldo Bulhões,MDB,Alagoas
JHC,PSB,Alagoas
Marx Beltrão,PSD,Alagoas
Nivaldo Albuquerque,PTB,Alagoas
Paulão,PT,Alagoas
Sérgio Toledo,PR,Alagoas
Severino Pessôa,PRB,Alagoas
Tereza Nelma,PSDB,Alagoas
Acácio Favacho,PROS,Amapá
Aline Gurgel,PRB,Amapá
Andre Abdon,PP,Amapá
Camilo Capiberibe,PSB,Amapá
Leda Sadala,AVANTE,Amapá
Luiz Carlos,PSDB,Amapá
Professora Marcivania,PC do B,Amapá
Vinícius,PR,Amapá
Atila Lins,PP,Amazonas
Bosco Saraiva,SD,Amazonas
Capitão Alberto Neto,PRB,Amazonas
Delegado Pablo,PSL,Amazonas
José Ricardo,PT,Amazonas
Marcelo Ramos,PR,Amazonas
Sidney Leite,PSD,Amazonas
Silas Câmara,PRB,Amazonas
Adolfo Viana ,PSDB,Bahia
Afonso Florence,PT,Bahia
Alex Santana,PDT,Bahia
Alice Portugal,PC do B,Bahia
Antonio Brito,PSD,Bahia
Arthur Maia,DEM,Bahia
Bacelar,PODE,Bahia
Cacá Leão,PP,Bahia
Charles Fernandes ,PSD,Bahia
Claudio Cajado,PP,Bahia
Daniel Almeida,PC do B,Bahia
Elmar,DEM,Bahia
Felix Mendonça,PDT,Bahia
Igor Kannario,PHS,Bahia
João Bacelar,PR,Bahia
João Roma,PRB,Bahia
Jorge Solla,PT,Bahia
José Nunes,PSD,Bahia
Jose Rocha,PR,Bahia
Josias Gomes,PT,Bahia
Leur Lomanto Jr,DEM,Bahia
Lídice da Mata,PSB,Bahia
Marcelo Nilo,PSB,Bahia
Marcio Marinho,PRB,Bahia
Mário Negromonte Jr,PP,Bahia
Otto Alencar Filho,PSD,Bahia
Pastor Abílio Santana,PHS,Bahia
Pastor Sargento Isidório,AVANTE,Bahia
Paulo Azi,DEM,Bahia
Pelegrino,PT,Bahia
Prof. Dayane Pimentel,PSL,Bahia
Raimundo Costa,PRP,Bahia
Ronaldo Carletto,PP,Bahia
Sérgio Brito,PSD,Bahia
Tito,AVANTE,Bahia
Uldúrico Júnior,PPL,Bahia
Valmir Assunção,PT,Bahia
Waldenor Pereira,PT,Bahia
Zé Neto,PT,Bahia
Aj Albuquerque,PP,Ceará
André Figueiredo,PDT,Ceará
Capitão Wagner,PROS,Ceará
Celio Studart,PV,Ceará
Denis Bezerra,PSB,Ceará
Domingos Neto,PSD,Ceará
Dr. Jaziel,PR,Ceará
Eduardo Bismarck,PDT,Ceará
Genecias Noronha,SD,Ceará
Guimarães,PT,Ceará
Heitor Freire,PSL,Ceará
Idilvan,PDT,Ceará
Jose Airton,PT,Ceará
Júnior Mano,PATRI,Ceará
Leonidas Cristino,PDT,Ceará
Luizianne,PT,Ceará
Mauro Filho,PDT,Ceará
Moses Rodrigues,MDB,Ceará
Pedro Bezerra,PTB,Ceará
Robério Monteiro,PDT,Ceará
Roberto Pessoa,PSDB,Ceará
Vaidon Oliveira,PROS,Ceará
Bia Kicis,PRP,Distrito federal
Celina Leão,PP,Distrito federal
Erika Kokay,PT,Distrito federal
Flavia Arruda,PR,Distrito federal
Julio Cesar,PRB,Distrito federal
Luis Miranda,DEM,Distrito federal
Paula Belmonte,PPS,Distrito federal
Professor Israel,PV,Distrito federal
Amaro Neto,PRB,Espírito santo
Da Vitória,PPS,Espírito santo
Dra. Soraya Manato,PSL,Espírito santo
Evair de Melo,PP,Espírito santo
Felipe Rigoni,PSB,Espírito santo
Foletto,PSB,Espírito santo
Helder Salomão,PT,Espírito santo
Lauriete,PR,Espírito santo
Norma Ayub,DEM,Espírito santo
Sergio Vidigal,PDT,Espírito santo
Adriano do Baldy,PP,Goiás
Alcides Rodrigues,PRP,Goiás
Célio Silveira,PSDB,Goiás
Delegado Waldir,PSL,Goiás
Dr. Zacarias Calil,DEM,Goiás
Elias Vaz,PSB,Goiás
Flavia Morais,PDT,Goiás
Francisco Jr,PSD,Goiás
Glaustin da Fokus,PSC,Goiás
João Campos,PRB,Goiás
José  Nelto,PODE,Goiás
Lucas Vergílio,SD,Goiás
Magda Mofatto,PR,Goiás
Major Vitor Hugo,PSL,Goiás
Professor Alcides,PP,Goiás
Rubens Otoni,PT,Goiás
Zé Mario,DEM,Goiás
Aluisio Mendes,PODE,Maranhão
Andre Fufuca,PP,Maranhão
Bira do Pindaré,PSB,Maranhão
Cleber Verde,PRB,Maranhão
Edilazio,PSD,Maranhão
Eduardo Braide,PMN,Maranhão
Gil Cutrim,PDT,Maranhão
Hildo Rocha,MDB,Maranhão
João Marcelo,MDB,Maranhão
Josimar Maranhãozinho,PR,Maranhão
Junior Lourenço,PR,Maranhão
Junior Marreca Filho,PATRI,Maranhão
Juscelino Filho,DEM,Maranhão
Márcio Jerry,PC do B,Maranhão
Pastor Gildenemyr,PMN,Maranhão
Pedro Lucas Fernandes,PTB,Maranhão
Rubens Junior,PC do B,Maranhão
Zé Carlos,PT,Maranhão
Carlos Bezerra,MDB,Mato Grosso 
Dr Leonardo,SD,Mato Grosso 
Emanuelzinho,PTB,Mato Grosso 
Jose Medeiros,PODE,Mato Grosso 
Juarez Costa,MDB,Mato Grosso 
Nelson Barbudo,PSL,Mato Grosso 
Neri Geller,PP,Mato Grosso 
Professora Rosa Neide,PT,Mato Grosso 
Beto Pereira,PSDB,Mato Grosso do Sul
Dagoberto,PDT,Mato Grosso do Sul
Dr. Luiz Ovando,PSL,Mato Grosso do Sul
Fabio Trad,PSD,Mato Grosso do Sul
Rose Modesto,PSDB,Mato Grosso do Sul
Tereza Cristina,DEM,Mato Grosso do Sul
Tio Trutis,PSL,Mato Grosso do Sul
Vander Loubet,PT,Mato Grosso do Sul
Aécio Neves,PSDB,Minas Gerais
Alê Silva,PSL,Minas Gerais
Andre Janones,AVANTE,Minas Gerais
Aurea Carolina,PSOL,Minas Gerais
Bilac Pinto,DEM,Minas Gerais
Cabo Junio Amaral,PSL,Minas Gerais
Charlles Evangelista,PSL,Minas Gerais
Delegado Marcelo Freitas,PSL,Minas Gerais
Diego Andrade,PSD,Minas Gerais
Dimas Fabiano,PP,Minas Gerais
Domingos Sávio,PSDB,Minas Gerais
Doutor Frederico,PATRI,Minas Gerais
Dr. Mário Heringer,PDT,Minas Gerais
Eduardo Barbosa,PSDB,Minas Gerais
Emidinho Madeira,PSB,Minas Gerais
Eros Biondini,PROS,Minas Gerais
Euclydes Pettersen ,PSC,Minas Gerais
Fabio Ramalho,MDB,Minas Gerais
Franco Cartafina,PHS,Minas Gerais
Fred Costa,PATRI,Minas Gerais
Gilberto Abramo,PRB,Minas Gerais
Greyce Elias,AVANTE,Minas Gerais
Hercílio Coelho Diniz,MDB,Minas Gerais
Igor Timo,PODE,Minas Gerais
Julio Delgado,PSB,Minas Gerais
Lafayette Andrada,PRB,Minas Gerais
Léo Motta,PSL,Minas Gerais
Leonardo Monteiro,PT,Minas Gerais
Lincoln Portela,PR,Minas Gerais
Lucas Gonzalez,NOVO,Minas Gerais
Luis Tibe,AVANTE,Minas Gerais
Marcelo Álvaro Antônio,PSL,Minas Gerais
Marcelo Aro,PHS,Minas Gerais
